,listing_id,pos,neu,neg,compound,name,latitude,longitude,review_scores_rating,neighbourhood_cleansed,distance_airport,distance_tophub,distance_prudential,distance_royale,distance_harvard
4816,30509416,0.40818627447058825,0.5830558823529413,0.008750980411764708,0.5508877451176469,Cozy Three Bedroom Apt in the North End!,42.3657790783129,-71.05397799394328,87.0,North End,2.2715331525369065,2.0264115262316778,1.946589544280217,1.2447876845676493,4.464224652770235
3134,21849098,0.40814285712500004,0.5686443452500001,0.023212797625,0.3372780505,Classic 2BR in Lower Allston by Sonder,42.35593082558804,-71.13557576345441,98.0,Allston,6.483049272072423,2.7267683126245563,2.7832814990722894,3.6086340842977207,1.6928154068567902
2840,20932029,0.4080926606052631,0.5768646474210527,0.012424270894736841,0.5128258669210527,Beautiful 2BR/1BA in the North End (3B),42.36480408093643,-71.05377147832048,96.0,North End,2.2616137604754303,1.9910811325379723,1.910929277019825,1.1913629041825975,4.490137473390864
3841,25043008,0.4080416666666667,0.5865694444999999,0.005388888833333333,0.5122125000000001,Arnold Arboretum 1 Bedroom,42.30612349783095,-71.12327306122829,88.0,Jamaica Plain,7.123067521025578,3.4423298641514744,3.517516578947999,4.228010830243133,5.184346775466058
664,6000531,0.40794545454545456,0.5819376623636363,0.010116883090909091,0.514190129909091,1 BR Brownstone Freedom Trail,42.37415674756017,-71.06202512836366,95.0,Charlestown,2.7474466069196546,2.2108677484885777,2.1393845132997167,1.68260676297124,3.960686004889466
3016,21562776,0.4078883333,0.5876433333,0.0044433332999999995,0.43701533330000003,Wondrous Back Bay Condo!,42.346110685368,-71.08020306851625,94.0,Back Bay,3.856608953234692,0.18881055939736455,0.1382944605010892,0.7946801961242027,3.8244377588348972
2422,19039411,0.4078879166499999,0.5901312500000001,0.00198083335,0.5628342916499999,Penthouse - VIEWS. North End of Boston - Queen,42.3653137823646,-71.05729209636151,93.0,North End,2.441221682690006,1.8793282251619712,1.8001840362335295,1.1436323959039658,4.306756160582042
3415,23250896,0.4077797298048781,0.569599251195122,0.01651858,0.5585868682439025,WATER VIEWS AND LUXURY AMENITIES,42.35184646796679,-71.04438489786025,97.0,South Boston Waterfront,2.0179084572157526,2.053784283137744,1.9791614715602,1.0920285349938037,5.225210693046097
3412,23214991,0.40770833325,0.55475,0.03754166675,0.51434166675,Quiet Minimalist Apartment,42.34862426558078,-71.09216074926631,100.0,Fenway,4.385877209636087,0.44970430784837895,0.5041811815629894,1.3650586132581817,3.244833789513934
2496,19303637,0.4076444443333333,0.5923555556666668,0.0,0.5216577776666668,Beautiful Bedroom Next to Roxbury Crossing T Stop,42.328385084049096,-71.09469743023615,100.0,Roxbury,5.057826786788466,1.3691708088650942,1.4370953969613813,2.106205692019962,4.24149360702391
1060,9133627,0.4075027293902439,0.5692294280000001,0.023278818231707316,0.4715876669756098,Comfy Beacon Hill Studio Great for Work Travel #4,42.35989025509785,-71.06436429838327,91.0,Beacon Hill,2.8308230181450686,1.359157527428249,1.2797930717410415,0.6908661590401071,4.07066145114595
2969,21445137,0.4075,0.0925,0.0,0.3294,BEACON HILL STUDIO BY MASS GENERAL HOSPITAL,42.359326361116096,-71.07030616285653,100.0,Beacon Hill,3.137445832962362,1.1236489929650808,1.0478590043808067,0.6932946306076057,3.801540406164343
4795,30503514,0.407222222,0.592777778,0.0,0.596333333,Charming 1BR in Lower Allston by Sonder,42.365012955880005,-71.12994279817714,100.0,Allston,6.159948683912931,2.682885414741756,2.723167543472665,3.4567924822532077,1.1535689148888075
3666,24221823,0.40710983466666656,0.5739227777833332,0.011693313499999997,0.4969064616333333,Amazing 1 bed Heart of South End!,42.34592610676179,-71.07943385703464,91.0,Back Bay,3.824238426421305,0.22974780077171356,0.17885881831480607,0.7621428742448184,3.8633045218171334
3653,24158645,0.407075,0.5902083333,0.0027,0.5244066666999999,Charming 1BR | Historic Beacon Hill | City Center,42.35786428434322,-71.06324961701304,98.0,Beacon Hill,2.7976658293518146,1.3137126881249335,1.2331735275569458,0.5608992848642164,4.174179540660756
4628,29592102,0.40700000000000003,0.593,0.0,0.8622,Unique Artisan Apartment | Roslindale,42.27853308568811,-71.13848110284219,100.0,Roslindale,8.927049803834603,5.463519260940373,5.535753256069705,6.183312501530769,7.02603526215819
2702,20352865,0.40691746033333337,0.5644922619166667,0.028590277833333334,0.47472961308333333,Modern and Comfort 3-BR in South Boston!,42.330557537368726,-71.11269245506595,85.0,Mission Hill,5.806068215692509,1.8424515662776628,1.9230043256872595,2.758955401955299,3.6892005797911094
1106,9507164,0.40688888900000003,0.593111111,0.0,0.4941888886666666,WB Quarters™ by STRB|Polished Cozy in Southie,42.34331686142797,-71.0573838545967,80.0,South Boston,2.889591653688351,1.37299512188574,1.3137325625179679,0.6187031942217526,4.895584360160129
741,6685682,0.4065508290000001,0.5736311448235295,0.017012112725490195,0.4749544920588235,Vintage Brownstone on Newbury|1 BR 1BA #3,42.348000439971756,-71.08552158738037,96.0,Back Bay,4.072027546417812,0.13350181061797625,0.1647784056046584,1.0307655817337777,3.5303363636024523
4224,27658502,0.4064999999333333,0.5915500000666667,0.0019500000000000001,0.5722850000666667,HARBOR VIEW/Chic Top Flr 1 Bd/North End/Frdm Trail,42.3642924192589,-71.05296952936833,96.0,North End,2.221741039381634,2.001157898622446,1.920764007341674,1.1828998533166886,4.538505846366567
1383,12709469,0.40625,0.59375,0.0,0.66755,near BC shuttle house summer sublet,42.34054213223037,-71.14671037647113,20.0,Brighton,7.229369882529948,3.2449590105327637,3.3182686347418633,4.205368114341104,2.774473295337361
